,Facility Number,Phone,Region,Area,Neighourhood,School Division,Type of Facility,Age Type,Facility Open On,Total Child Care Spaces,Address,Legal Name
14,100054,(204) 727-4699,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
15,100069,(204) 728-5666,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,"517 21ST Street BRANDON, MB ",Erin Hodgson
16,9392,(204) 720-2268,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,15,"30 Knowlton Drive Brandon, MB ",Fuzzy Bears Inc.
17,9392,(204) 720-2268,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,15,"30 Knowlton Drive Brandon, MB ",Fuzzy Bears Inc.
18,1109,(204) 726-5321,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"Gymnasium, Community Room, Daycare 10 Knowlton Drive Brandon, MB",Fuzzy Bears Inc.
19,1109,(204) 726-5321,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"Gymnasium, Community Room, Daycare 10 Knowlton Drive Brandon, MB",Fuzzy Bears Inc.
20,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
21,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
22,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
23,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
24,50353,(204) 729-0742,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,None,Family or Group Child  Care Home *
25,50353,(204) 729-0742,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,None,Family or Group Child  Care Home *
26,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
27,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
28,101858,(204) 727-4210,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"Unit B - 1129 3rd Street Brandon, MB ",Brandon Friendship Centre Inc.
29,101858,(204) 727-4210,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"Unit B - 1129 3rd Street Brandon, MB ",Brandon Friendship Centre Inc.
30,9766,(204) 728-9041,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,36,"836 Lorne Avenue (Ave) Brandon, MB ",Brandon Friendship Centre
31,3045,(204) 728-1749,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,50,"32 Willowdale Crescent Brandon, MB ",Linden's Kid's Klub Inc.
32,101955,(204) 573-5838,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
33,101955,(204) 573-5838,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
34,9321,(204) 728-3275,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,80,"911 26th Street Brandon, MB ",Magical Memories Learning Centre Inc.
35,9321,(204) 728-3275,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,80,"911 26th Street Brandon, MB ",Magical Memories Learning Centre Inc.
36,102001,(204) 573-5789,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
37,102001,(204) 573-5789,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
38,102641,(204) 724-0131,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,"11 Dominion Way Brandon, MB ",Megan and Dustin Van Damme
39,101782,(204) 727-0220,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
40,101782,(204) 727-0220,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
41,2110,(204) 727-6650,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,24,"2227 Brandon Avenue (Ave) Brandon, MB ",Child and Family Services of Western Manitoba
42,100291,(204) 730-0475,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
43,100291,(204) 730-0475,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
44,9745,(204) 726-4637,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
45,9745,(204) 726-4637,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
46,100391,(204) 720-1836,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Tammy Chambers
47,1119,(204) 728-9845,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"2227 Brandon Avenue (Ave) Brandon, MB ",Child and Family Services of Western Manitoba
48,1119,(204) 728-9845,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"2227 Brandon Avenue (Ave) Brandon, MB ",Child and Family Services of Western Manitoba
49,9783,(204) 571-6557,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",48,"YMCA Brandon 231 8th Street Brandon, MB",The Young Men's Christian Association of Brandon
50,9783,(204) 571-6557,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",48,"YMCA Brandon 231 8th Street Brandon, MB",The Young Men's Christian Association of Brandon
51,100492,(204) 571-6559,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,30,"Ecole New Era School M6 - 527 Louise Avenue (Ave) Brandon, MB",Young Men's Christian Association of Brandon
52,101020,(204) 571-6556,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,148,"1525 First Street S Brandon, MB ",The Young Men's Christian Association of Brandon
53,101020,(204) 571-6556,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,148,"1525 First Street S Brandon, MB ",The Young Men's Christian Association of Brandon
54,102375,(204) 571-6554,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"77 Whillier Drive Brandon, MB ",The Young Men's Christian Association of Brandon
55,100450,(204) 571-6558,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,34,"B - 565 34th Street Brandon, MB ",The Young Men's Christian Association of Brandon
56,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
57,102391,(204) 901-3183,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,Preschool,Weekdays,6,None,Allison Stevens
58,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
59,102392,(204) 724-8569,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
60,2186,(204) 725-0968,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Preschool, School Age",Weekdays,56,"303 21st Street Brandon, MB ",BU Early Learning Centre Inc.
61,9779,(204) 571-6935,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,8,"104 - 1930 1 st Street Brandon, MB ",Community Partnership Committee for Pregnant and Parenting Youth
62,100450,(204) 571-6558,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,34,"B - 565 34th Street Brandon, MB ",The Young Men's Christian Association of Brandon
63,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
64,9783,(204) 571-6557,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",48,"YMCA Brandon 231 8th Street Brandon, MB",The Young Men's Christian Association of Brandon
65,2104,(204) 728-8407,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,20,"3101 Victoria Avenue (Ave) Brandon, MB ",Beginnings Pre-School Inc.
66,2034,(204) 725-2226,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,20,"451 18th Street Brandon, MB ",Brandon Nursery School Inc.
67,102209,(204) 721-0191,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,ROLLING RIVER SCHOOL DIVISION,Centre/Nursery,,Weekdays,10,"440 Richmond Avenue (Ave) Brandon, MB ",Heather Boyce
68,102209,(204) 721-0191,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,ROLLING RIVER SCHOOL DIVISION,Centre/Nursery,,Weekdays,10,"440 Richmond Avenue (Ave) Brandon, MB ",Heather Boyce
69,101596,(204) 761-5474,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,20,"1620 Braecrest Drive Brandon, MB ",Here We Grow Nursery School
70,2344,(204) 729-0788,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,24,"205 College Avenue (Ave) Brandon, MB ",Brandon Friendship Centre Inc.
71,2344,(204) 729-0788,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,24,"205 College Avenue (Ave) Brandon, MB ",Brandon Friendship Centre Inc.
72,100410,(204) 725-0333,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,20,"1105 Louise Avenue (Ave) E Brandon, MB ",Riverview Early Learners Inc
73,100410,(204) 725-0333,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,20,"1105 Louise Avenue (Ave) E Brandon, MB ",Riverview Early Learners Inc
74,101383,(204) 727-8080,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,17,"142 28th Street Brandon, MB ",Tracy Hoglander
75,100492,(204) 571-6559,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,30,"Ecole New Era School M6 - 527 Louise Avenue (Ave) Brandon, MB",Young Men's Christian Association of Brandon
76,102391,(204) 901-3183,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,Preschool,Weekdays,6,None,Allison Stevens
77,102392,(204) 724-8569,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
78,2186,(204) 725-0968,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Preschool, School Age",Weekdays,56,"303 21st Street Brandon, MB ",BU Early Learning Centre Inc.
79,1241,(204) 729-8175,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,34,"King George School, Gymnasium 535 B Park Street Brandon, MB",Children's Den Inc.
80,9779,(204) 571-6935,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,8,"104 - 1930 1 st Street Brandon, MB ",Community Partnership Committee for Pregnant and Parenting Youth
81,100069,(204) 728-5666,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,"517 21ST Street BRANDON, MB ",Erin Hodgson
82,101858,(204) 727-4210,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"Unit B - 1129 3rd Street Brandon, MB ",Brandon Friendship Centre Inc.
83,9321,(204) 728-3275,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,80,"911 26th Street Brandon, MB ",Magical Memories Learning Centre Inc.
84,102001,(204) 573-5789,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
85,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
86,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
87,100069,(204) 728-5666,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,"517 21ST Street BRANDON, MB ",Erin Hodgson
88,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
89,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
90,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
91,9804,(204) 726-5522,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
92,2088,(204) 725-8713,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,56,"Room 249 1430 Victoria Avenue (Ave) E Brandon, MB",Assiniboine Early Learning Centre Inc.
93,102392,(204) 724-8569,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
94,102654,(204) 725-0968,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,15,"451 18th Street Brandon, MB ",BU Early Learning Centre Inc. Site #3
95,100069,(204) 728-5666,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,"517 21ST Street BRANDON, MB ",Erin Hodgson
96,1109,(204) 726-5321,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"Gymnasium, Community Room, Daycare 10 Knowlton Drive Brandon, MB",Fuzzy Bears Inc.
97,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
98,2110,(204) 727-6650,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,24,"2227 Brandon Avenue (Ave) Brandon, MB ",Child and Family Services of Western Manitoba
99,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
100,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
101,100069,(204) 728-5666,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,"517 21ST Street BRANDON, MB ",Erin Hodgson
102,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
103,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
104,9779,(204) 571-6935,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,8,"104 - 1930 1 st Street Brandon, MB ",Community Partnership Committee for Pregnant and Parenting Youth
105,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
106,3045,(204) 728-1749,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,50,"32 Willowdale Crescent Brandon, MB ",Linden's Kid's Klub Inc.
107,2110,(204) 727-6650,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,24,"2227 Brandon Avenue (Ave) Brandon, MB ",Child and Family Services of Western Manitoba
108,100291,(204) 730-0475,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
109,100391,(204) 720-1836,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Tammy Chambers
110,1119,(204) 728-9845,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"2227 Brandon Avenue (Ave) Brandon, MB ",Child and Family Services of Western Manitoba
111,9783,(204) 571-6557,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",48,"YMCA Brandon 231 8th Street Brandon, MB",The Young Men's Christian Association of Brandon
112,100492,(204) 571-6559,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,30,"Ecole New Era School M6 - 527 Louise Avenue (Ave) Brandon, MB",Young Men's Christian Association of Brandon
